method,value,se,true_value,par
CC,.70676821,.14650996,.5,trt
MI_T,.68418825,.12550431,.5,trt
MI_LOGT,.71247953,.14108141,.5,trt
CC,.34850079,.15998788,.5,trt
MI_T,.40600821,.14098307,.5,trt
MI_LOGT,.42870033,.13585888,.5,trt
CC,.64950752,.15215683,.5,trt
MI_T,.50287008,.13007805,.5,trt
MI_LOGT,.56040514,.1168512,.5,trt
CC,.43205339,.12628527,.5,trt
MI_T,.46732849,.11770109,.5,trt
MI_LOGT,.49225026,.11797793,.5,trt
CC,.42272082,.13811737,.5,trt
MI_T,.43057594,.12465809,.5,trt
MI_LOGT,.42082012,.12512499,.5,trt
CC,.61598259,.14519639,.5,trt
MI_T,.57238436,.11938836,.5,trt
MI_LOGT,.56948972,.14591245,.5,trt
CC,.58106273,.13772988,.5,trt
MI_T,.58071709,.13390215,.5,trt
MI_LOGT,.63665301,.14852244,.5,trt
CC,.4800128,.15775034,.5,trt
MI_T,.44851607,.17425299,.5,trt
MI_LOGT,.37554497,.13486606,.5,trt
CC,.2908099,.15114167,.5,trt
MI_T,.39181164,.14263926,.5,trt
MI_LOGT,.35351977,.1453307,.5,trt
CC,.53879416,.15026112,.5,trt
MI_T,.59747952,.13432792,.5,trt
MI_LOGT,.61945444,.13040957,.5,trt
CC,.54165602,.12889767,.5,trt
MI_T,.596255,.11210544,.5,trt
MI_LOGT,.56747073,.1244615,.5,trt
CC,.44760281,.14988542,.5,trt
MI_T,.43192616,.13395548,.5,trt
MI_LOGT,.47987181,.13249736,.5,trt
CC,.65357047,.13506047,.5,trt
MI_T,.71920615,.12512742,.5,trt
MI_LOGT,.73173261,.1188037,.5,trt
CC,.30353758,.1317701,.5,trt
MI_T,.34045377,.12930337,.5,trt
MI_LOGT,.36201411,.1176127,.5,trt
CC,.64476079,.15660693,.5,trt
MI_T,.70185715,.136039,.5,trt
MI_LOGT,.65506929,.15707211,.5,trt
CC,.38783115,.13906568,.5,trt
MI_T,.42861104,.13584761,.5,trt
MI_LOGT,.34452638,.12012648,.5,trt
CC,.63721293,.14665306,.5,trt
MI_T,.65512484,.12433089,.5,trt
MI_LOGT,.60184038,.12881637,.5,trt
CC,.54127729,.15203077,.5,trt
MI_T,.5810219,.1232147,.5,trt
MI_LOGT,.52569222,.15757726,.5,trt
CC,.55579263,.20143393,.5,trt
MI_T,.45970532,.21571158,.5,trt
MI_LOGT,.55657226,.16906641,.5,trt
CC,.27131152,.14655691,.5,trt
MI_T,.33356652,.13130911,.5,trt
MI_LOGT,.29608101,.13156545,.5,trt
CC,.64056683,.14537764,.5,trt
MI_T,.60218573,.13970719,.5,trt
MI_LOGT,.61287409,.12563057,.5,trt
CC,.29313481,.14375834,.5,trt
MI_T,.36136121,.12744085,.5,trt
MI_LOGT,.3447032,.12604336,.5,trt
CC,.4646596,.13268663,.5,trt
MI_T,.47905827,.11633375,.5,trt
MI_LOGT,.47742531,.11679281,.5,trt
CC,.60759658,.13268924,.5,trt
MI_T,.59044141,.11086722,.5,trt
MI_LOGT,.61791062,.12853937,.5,trt
CC,.51832479,.14072365,.5,trt
MI_T,.53525472,.13462101,.5,trt
MI_LOGT,.55501419,.1265219,.5,trt
CC,.42953315,.16669121,.5,trt
MI_T,.51185971,.14227001,.5,trt
MI_LOGT,.49002931,.14740616,.5,trt
CC,.38319504,.15514658,.5,trt
MI_T,.35301155,.12517786,.5,trt
MI_LOGT,.3980864,.11724151,.5,trt
CC,.55083877,.15540293,.5,trt
MI_T,.53245497,.15055026,.5,trt
MI_LOGT,.53238708,.15126774,.5,trt
CC,.45703986,.14006983,.5,trt
MI_T,.45218861,.12215133,.5,trt
MI_LOGT,.39871094,.11834413,.5,trt
CC,.49776548,.16702464,.5,trt
MI_T,.49539998,.14687729,.5,trt
MI_LOGT,.50100678,.13513614,.5,trt
CC,.4747366,.14506289,.5,trt
MI_T,.54318458,.14739057,.5,trt
MI_LOGT,.55622035,.12292103,.5,trt
CC,.45005333,.13001825,.5,trt
MI_T,.47290099,.12909845,.5,trt
MI_LOGT,.43706515,.1419332,.5,trt
CC,.92183262,.15328383,.5,trt
MI_T,.70553386,.1305892,.5,trt
MI_LOGT,.67270476,.16388035,.5,trt
CC,.62482184,.15506323,.5,trt
MI_T,.61300981,.14174841,.5,trt
MI_LOGT,.50104946,.14038822,.5,trt
CC,.67643076,.13685755,.5,trt
MI_T,.51472938,.1565766,.5,trt
MI_LOGT,.56430602,.1218245,.5,trt
CC,.27216932,.14353016,.5,trt
MI_T,.30900678,.12026125,.5,trt
MI_LOGT,.27253112,.12906991,.5,trt
CC,.30466428,.1652403,.5,trt
MI_T,.36641082,.14444667,.5,trt
MI_LOGT,.42708725,.13576272,.5,trt
CC,.50063598,.16025957,.5,trt
MI_T,.42668235,.12955937,.5,trt
MI_LOGT,.45844123,.13031083,.5,trt
CC,.74726921,.16220662,.5,trt
MI_T,.68412042,.14124292,.5,trt
MI_LOGT,.64520985,.14068089,.5,trt
CC,.28256747,.15628211,.5,trt
MI_T,.40419856,.13176879,.5,trt
MI_LOGT,.39759833,.15994357,.5,trt
CC,.52646679,.10945772,.5,trt
MI_T,.4653073,.09673214,.5,trt
MI_LOGT,.45745197,.11632618,.5,trt
CC,.45951223,.13993996,.5,trt
MI_T,.37949413,.13125122,.5,trt
MI_LOGT,.37844193,.15477759,.5,trt
CC,.81990409,.13430327,.5,trt
MI_T,.81102771,.12549113,.5,trt
MI_LOGT,.76944095,.11345651,.5,trt
CC,.55839616,.16299585,.5,trt
MI_T,.54968423,.14522249,.5,trt
MI_LOGT,.55868423,.15000318,.5,trt
CC,.66448694,.14606088,.5,trt
MI_T,.61416668,.13450554,.5,trt
MI_LOGT,.58156991,.1312798,.5,trt
CC,.52290118,.13244553,.5,trt
MI_T,.57121223,.11142176,.5,trt
MI_LOGT,.58308357,.10175313,.5,trt
CC,.080067463,.13020216,.5,trt
MI_T,.15387802,.10737875,.5,trt
MI_LOGT,.1460351,.11445814,.5,trt
CC,.41135412,.15042879,.5,trt
MI_T,.44655097,.11823857,.5,trt
MI_LOGT,.40751338,.1177358,.5,trt
CC,.6137796,.16488121,.5,trt
MI_T,.70533901,.12823801,.5,trt
MI_LOGT,.6845305,.12149371,.5,trt
CC,.77473527,.1663751,.5,trt
MI_T,.66546661,.14376681,.5,trt
MI_LOGT,.6267767,.1393337,.5,trt
CC,.63582414,.16280317,.5,trt
MI_T,.68330991,.14707695,.5,trt
MI_LOGT,.68119693,.13867602,.5,trt
CC,.48226076,.13218775,.5,trt
MI_T,.45931077,.12609859,.5,trt
MI_LOGT,.42382446,.13177738,.5,trt
CC,.4839583,.11975731,.5,trt
MI_T,.52537316,.13277024,.5,trt
MI_LOGT,.5180366,.11246631,.5,trt
CC,.61540061,.14718747,.5,trt
MI_T,.52938795,.13010341,.5,trt
MI_LOGT,.55386227,.12507974,.5,trt
CC,.50611717,.13012993,.5,trt
MI_T,.47538584,.1280722,.5,trt
MI_LOGT,.49893349,.11349554,.5,trt
CC,.42325461,.1428923,.5,trt
MI_T,.21710655,.143087,.5,trt
MI_LOGT,.28728589,.12514618,.5,trt
CC,.39907658,.14169323,.5,trt
MI_T,.30116051,.1518531,.5,trt
MI_LOGT,.38361105,.15712988,.5,trt
CC,.45449239,.138004,.5,trt
MI_T,.47049978,.13454604,.5,trt
MI_LOGT,.43861267,.12670207,.5,trt
CC,.23653015,.15201001,.5,trt
MI_T,.30870351,.12902448,.5,trt
MI_LOGT,.32708248,.13226557,.5,trt
CC,.49353817,.14951898,.5,trt
MI_T,.50432277,.13337781,.5,trt
MI_LOGT,.51022303,.11601349,.5,trt
CC,.58316392,.14856045,.5,trt
MI_T,.60823017,.12063025,.5,trt
MI_LOGT,.60691768,.12109961,.5,trt
CC,.59212959,.12823638,.5,trt
MI_T,.64572078,.10852411,.5,trt
MI_LOGT,.62214893,.12413985,.5,trt
CC,.80911767,.14572881,.5,trt
MI_T,.80416155,.13039479,.5,trt
MI_LOGT,.67866635,.13520946,.5,trt
CC,.63811678,.11477768,.5,trt
MI_T,.55281204,.10055485,.5,trt
MI_LOGT,.55639684,.12701564,.5,trt
CC,.26320815,.15312563,.5,trt
MI_T,.29683334,.13549061,.5,trt
MI_LOGT,.27318439,.13711312,.5,trt
CC,.57920367,.13420802,.5,trt
MI_T,.54251826,.11823091,.5,trt
MI_LOGT,.48174307,.15659794,.5,trt
CC,.40763426,.15669374,.5,trt
MI_T,.38664329,.12644026,.5,trt
MI_LOGT,.40519631,.13546026,.5,trt
CC,.40775594,.13291577,.5,trt
MI_T,.44551343,.10674397,.5,trt
MI_LOGT,.43205661,.11579656,.5,trt
CC,.56420135,.12402514,.5,trt
MI_T,.60311007,.11510229,.5,trt
MI_LOGT,.59439898,.10407787,.5,trt
CC,.39326909,.13481791,.5,trt
MI_T,.43855613,.12904076,.5,trt
MI_LOGT,.50705189,.1196919,.5,trt
CC,.50850844,.1386545,.5,trt
MI_T,.49400443,.133808,.5,trt
MI_LOGT,.61518294,.1348789,.5,trt
CC,.78612649,.14763182,.5,trt
MI_T,.59613276,.1185985,.5,trt
MI_LOGT,.63937986,.13561529,.5,trt
CC,.65366125,.12833911,.5,trt
MI_T,.6244598,.13337401,.5,trt
MI_LOGT,.61227322,.14289971,.5,trt
CC,.48562834,.14111198,.5,trt
MI_T,.49238777,.12492554,.5,trt
MI_LOGT,.48039612,.12651289,.5,trt
CC,.37591484,.14358862,.5,trt
MI_T,.48532724,.12011078,.5,trt
MI_LOGT,.46125048,.1300842,.5,trt
CC,.45996857,.14890635,.5,trt
MI_T,.35727644,.13748462,.5,trt
MI_LOGT,.33028492,.11220934,.5,trt
CC,.55714798,.16830587,.5,trt
MI_T,.44251391,.12994774,.5,trt
MI_LOGT,.49003625,.17629774,.5,trt
CC,.86701345,.17366038,.5,trt
MI_T,.83649755,.14573291,.5,trt
MI_LOGT,.75472248,.16905314,.5,trt
CC,.45323822,.14730293,.5,trt
MI_T,.45950982,.13847092,.5,trt
MI_LOGT,.44808808,.11971139,.5,trt
CC,.35511181,.13917813,.5,trt
MI_T,.43322307,.14241762,.5,trt
MI_LOGT,.3850306,.11642209,.5,trt
CC,.47926113,.12566076,.5,trt
MI_T,.50935251,.1138237,.5,trt
MI_LOGT,.51920146,.11071493,.5,trt
CC,.55416709,.18117449,.5,trt
MI_T,.51393956,.14662562,.5,trt
MI_LOGT,.57726103,.15675554,.5,trt
CC,.32344127,.12600324,.5,trt
MI_T,.36966637,.11993872,.5,trt
MI_LOGT,.3824065,.11535354,.5,trt
CC,.56322789,.13997701,.5,trt
MI_T,.51424348,.14294054,.5,trt
MI_LOGT,.52415907,.13248256,.5,trt
CC,.36243725,.15786117,.5,trt
MI_T,.39726159,.14900082,.5,trt
MI_LOGT,.3814562,.11644006,.5,trt
CC,.47688463,.18023676,.5,trt
MI_T,.45183358,.14372067,.5,trt
MI_LOGT,.46940744,.15618339,.5,trt
CC,.38300869,.12436141,.5,trt
MI_T,.42853102,.14771022,.5,trt
MI_LOGT,.38841522,.12844305,.5,trt
CC,.61961514,.14828017,.5,trt
MI_T,.6099326,.13414973,.5,trt
MI_LOGT,.66522706,.12782733,.5,trt
CC,.50002778,.1424603,.5,trt
MI_T,.4499819,.11920489,.5,trt
MI_LOGT,.40718946,.12384892,.5,trt
CC,.72552127,.15875052,.5,trt
MI_T,.6362806,.12379136,.5,trt
MI_LOGT,.72718316,.13121746,.5,trt
CC,.40979734,.16010115,.5,trt
MI_T,.41376936,.15875496,.5,trt
MI_LOGT,.45708078,.14513305,.5,trt
CC,.55823594,.14350852,.5,trt
MI_T,.56169468,.1168798,.5,trt
MI_LOGT,.55340701,.1160576,.5,trt
CC,.63422829,.11660668,.5,trt
MI_T,.63546222,.12007062,.5,trt
MI_LOGT,.5708676,.10596552,.5,trt
CC,.39954552,.14776663,.5,trt
MI_T,.34377408,.11852912,.5,trt
MI_LOGT,.41108274,.1285105,.5,trt
CC,.32973838,.13787909,.5,trt
MI_T,.40630826,.1185654,.5,trt
MI_LOGT,.39038906,.11272763,.5,trt
CC,.47777745,.13421234,.5,trt
MI_T,.40755743,.10953251,.5,trt
MI_LOGT,.43356413,.12127361,.5,trt
CC,.18904883,.14605148,.5,trt
MI_T,.25394809,.15048863,.5,trt
MI_LOGT,.25823078,.123321,.5,trt
CC,.68464112,.15751205,.5,trt
MI_T,.62660843,.14481197,.5,trt
MI_LOGT,.57559454,.15450011,.5,trt
CC,.47385329,.14558853,.5,trt
MI_T,.39162502,.12117488,.5,trt
MI_LOGT,.4316175,.11188833,.5,trt
CC,.68209273,.14942858,.5,trt
MI_T,.56603664,.14840658,.5,trt
MI_LOGT,.57918179,.13110325,.5,trt
CC,.49457547,.13620089,.5,trt
MI_T,.47229791,.1355994,.5,trt
MI_LOGT,.50001127,.11666709,.5,trt
CC,.36179727,.1612889,.5,trt
MI_T,.35205427,.12711741,.5,trt
MI_LOGT,.40973926,.12302521,.5,trt
CC,.70700294,.14435361,.5,trt
MI_T,.5049513,.14151266,.5,trt
MI_LOGT,.55848414,.15290453,.5,trt
CC,.32415685,.15757823,.5,trt
MI_T,.21042733,.12065113,.5,trt
MI_LOGT,.30385387,.16148789,.5,trt
CC,.58142883,.16249207,.5,trt
MI_T,.44787627,.15812302,.5,trt
MI_LOGT,.44019657,.12328664,.5,trt
CC,.64581275,.13941507,.5,trt
MI_T,.70039701,.11527856,.5,trt
MI_LOGT,.68661696,.11766518,.5,trt
CC,.30373797,.12958689,.5,trt
MI_T,.33349735,.11468655,.5,trt
MI_LOGT,.37652481,.13332312,.5,trt
CC,.49598005,.1233269,.5,trt
MI_T,.55708051,.11827447,.5,trt
MI_LOGT,.52269572,.12215485,.5,trt
CC,.40219691,.14914338,.5,trt
MI_T,.47578982,.13328139,.5,trt
MI_LOGT,.49947008,.13061449,.5,trt
CC,.68702632,.15616247,.5,trt
MI_T,.49744904,.13143305,.5,trt
MI_LOGT,.58151984,.13632327,.5,trt
CC,.96957201,.19125473,.5,trt
MI_T,.77614588,.15205862,.5,trt
MI_LOGT,.85287023,.16049656,.5,trt
CC,.35418326,.13809422,.5,trt
MI_T,.42785668,.11912882,.5,trt
MI_LOGT,.41459104,.12074453,.5,trt
CC,.79294187,.12584177,.5,trt
MI_T,.87302983,.11318966,.5,trt
MI_LOGT,.85416341,.10746104,.5,trt
CC,.46164721,.12904564,.5,trt
MI_T,.40282056,.11189646,.5,trt
MI_LOGT,.40440884,.14459962,.5,trt
CC,.38914692,.15106769,.5,trt
MI_T,.36418414,.11227218,.5,trt
MI_LOGT,.38069785,.11554009,.5,trt
CC,.62958902,.15590133,.5,trt
MI_T,.47371739,.1235326,.5,trt
MI_LOGT,.49539044,.12989365,.5,trt
CC,.35624588,.12732305,.5,trt
MI_T,.37269855,.12071043,.5,trt
MI_LOGT,.4492476,.15714733,.5,trt
CC,.65183747,.13644646,.5,trt
MI_T,.61637402,.12932211,.5,trt
MI_LOGT,.59618413,.12379982,.5,trt
CC,.28625238,.13040276,.5,trt
MI_T,.26714191,.10613864,.5,trt
MI_LOGT,.21634372,.10226456,.5,trt
CC,.65013552,.16244444,.5,trt
MI_T,.54784214,.15854242,.5,trt
MI_LOGT,.56038481,.17641281,.5,trt
CC,.47944555,.12128112,.5,trt
MI_T,.43034345,.097109996,.5,trt
MI_LOGT,.46270177,.095942423,.5,trt
CC,.41851419,.16319452,.5,trt
MI_T,.42572284,.14665486,.5,trt
MI_LOGT,.4556644,.15479976,.5,trt
CC,.23944823,.13025545,.5,trt
MI_T,.3108286,.14075075,.5,trt
MI_LOGT,.33500201,.11285517,.5,trt
CC,.60362351,.15467356,.5,trt
MI_T,.57086855,.12709752,.5,trt
MI_LOGT,.59992939,.14392692,.5,trt
CC,.46448094,.14149718,.5,trt
MI_T,.44071969,.11991822,.5,trt
MI_LOGT,.47701555,.16361189,.5,trt
CC,.71016443,.1572869,.5,trt
MI_T,.61836392,.13218899,.5,trt
MI_LOGT,.55094612,.13446167,.5,trt
CC,.49746791,.13505653,.5,trt
MI_T,.51342893,.12141564,.5,trt
MI_LOGT,.44762293,.13005824,.5,trt
CC,.49975404,.15670505,.5,trt
MI_T,.36322847,.10943167,.5,trt
MI_LOGT,.39233193,.14318082,.5,trt
CC,.38622633,.13214087,.5,trt
MI_T,.36082053,.11084936,.5,trt
MI_LOGT,.30210188,.10428399,.5,trt
CC,.44052753,.14123121,.5,trt
MI_T,.45164439,.13668303,.5,trt
MI_LOGT,.42865941,.13321632,.5,trt
CC,.71121246,.16494341,.5,trt
MI_T,.62582409,.14510684,.5,trt
MI_LOGT,.60441011,.175992,.5,trt
CC,.52266818,.1451589,.5,trt
MI_T,.43690735,.13469476,.5,trt
MI_LOGT,.40249091,.1301259,.5,trt
CC,.40376765,.14278118,.5,trt
MI_T,.52517444,.13664897,.5,trt
MI_LOGT,.51806641,.14185062,.5,trt
CC,.41880801,.15811278,.5,trt
MI_T,.33750182,.1461242,.5,trt
MI_LOGT,.43391159,.14751138,.5,trt
CC,.44957849,.14280738,.5,trt
MI_T,.54865909,.11839147,.5,trt
MI_LOGT,.56138605,.12841964,.5,trt
CC,.68562591,.15384927,.5,trt
MI_T,.53953147,.11641575,.5,trt
MI_LOGT,.52694964,.123812,.5,trt
CC,.24178472,.14535065,.5,trt
MI_T,.25726429,.14214988,.5,trt
MI_LOGT,.25878754,.12954107,.5,trt
CC,.67539072,.17050095,.5,trt
MI_T,.70968169,.14685063,.5,trt
MI_LOGT,.69596446,.15342835,.5,trt
CC,.26687497,.13730532,.5,trt
MI_T,.28933135,.16469267,.5,trt
MI_LOGT,.27503869,.11887228,.5,trt
CC,.54806632,.11311193,.5,trt
MI_T,.56405783,.093837798,.5,trt
MI_LOGT,.55392265,.10093204,.5,trt
CC,.54175383,.14146727,.5,trt
MI_T,.53914458,.12698802,.5,trt
MI_LOGT,.56566912,.12416459,.5,trt
CC,.33084586,.12654275,.5,trt
MI_T,.32810637,.12230521,.5,trt
MI_LOGT,.38790071,.12827273,.5,trt
CC,.68387777,.14203586,.5,trt
MI_T,.60748118,.12555607,.5,trt
MI_LOGT,.57985204,.12030855,.5,trt
CC,.37283769,.14135918,.5,trt
MI_T,.44571868,.12258913,.5,trt
MI_LOGT,.42874643,.15995868,.5,trt
CC,.56887943,.1564572,.5,trt
MI_T,.62768209,.13479054,.5,trt
MI_LOGT,.62926471,.12660474,.5,trt
CC,.94436932,.17072803,.5,trt
MI_T,.84532696,.14710052,.5,trt
MI_LOGT,.81985199,.18739679,.5,trt
CC,.34450498,.15056247,.5,trt
MI_T,.30939156,.12854025,.5,trt
MI_LOGT,.33132699,.11720052,.5,trt
CC,.49702483,.12512662,.5,trt
MI_T,.42415512,.11802158,.5,trt
MI_LOGT,.43923029,.12139451,.5,trt
CC,.46108508,.12814793,.5,trt
MI_T,.55844289,.11596557,.5,trt
MI_LOGT,.57465976,.1068795,.5,trt
CC,.30571175,.18492173,.5,trt
MI_T,.32903206,.16954713,.5,trt
MI_LOGT,.39564288,.17026906,.5,trt
CC,.47624037,.14702514,.5,trt
MI_T,.4885371,.16299595,.5,trt
MI_LOGT,.53222656,.13468355,.5,trt
CC,.52211648,.15124126,.5,trt
MI_T,.52135289,.1380973,.5,trt
MI_LOGT,.50424391,.13069193,.5,trt
CC,.59392619,.14853394,.5,trt
MI_T,.46753266,.12200308,.5,trt
MI_LOGT,.44546697,.12064113,.5,trt
CC,.58077919,.13601883,.5,trt
MI_T,.55003285,.12411787,.5,trt
MI_LOGT,.5460223,.1231353,.5,trt
CC,.55210584,.14530903,.5,trt
MI_T,.47547698,.12166312,.5,trt
MI_LOGT,.42901176,.13772154,.5,trt
CC,.4665882,.13009761,.5,trt
MI_T,.41852704,.1064708,.5,trt
MI_LOGT,.49150357,.11182763,.5,trt
CC,.47183922,.14765342,.5,trt
MI_T,.49018067,.14045835,.5,trt
MI_LOGT,.45430306,.11323746,.5,trt
CC,.31742188,.13785376,.5,trt
MI_T,.27471721,.12465131,.5,trt
MI_LOGT,.26938102,.13804565,.5,trt
CC,.89248055,.17390791,.5,trt
MI_T,.86028695,.22819327,.5,trt
MI_LOGT,.73481882,.19385919,.5,trt
CC,.92728835,.16354398,.5,trt
MI_T,.83726871,.16229492,.5,trt
MI_LOGT,.77747089,.17256701,.5,trt
CC,.4376834,.14554095,.5,trt
MI_T,.50354236,.14955024,.5,trt
MI_LOGT,.51407063,.15840131,.5,trt
CC,.58641541,.16581683,.5,trt
MI_T,.56830949,.13001636,.5,trt
MI_LOGT,.52102238,.12582627,.5,trt
CC,.56103748,.14767189,.5,trt
MI_T,.53622174,.14606343,.5,trt
MI_LOGT,.54536742,.11535706,.5,trt
CC,.70560688,.13735008,.5,trt
MI_T,.69476563,.12099632,.5,trt
MI_LOGT,.63399434,.12807362,.5,trt
CC,.56401944,.13069922,.5,trt
MI_T,.55930507,.11680201,.5,trt
MI_LOGT,.54770923,.12050514,.5,trt
CC,.44110766,.13092265,.5,trt
MI_T,.48947245,.11625238,.5,trt
MI_LOGT,.46721873,.11482931,.5,trt
CC,.57065386,.12618245,.5,trt
MI_T,.5306952,.1219314,.5,trt
MI_LOGT,.48007494,.12514532,.5,trt
CC,.46381843,.14996621,.5,trt
MI_T,.42669159,.13703464,.5,trt
MI_LOGT,.40854016,.14501254,.5,trt
CC,.61162353,.14651221,.5,trt
MI_T,.4928109,.12130008,.5,trt
MI_LOGT,.55969357,.1551241,.5,trt
CC,.43480095,.14550431,.5,trt
MI_T,.34637204,.16215217,.5,trt
MI_LOGT,.45296791,.13089482,.5,trt
CC,.36246336,.102391,.5,trt
MI_T,.39664784,.10490176,.5,trt
MI_LOGT,.38441712,.091246344,.5,trt
CC,.49407023,.13124222,.5,trt
MI_T,.46516073,.10848793,.5,trt
MI_LOGT,.48403701,.14207263,.5,trt
CC,.48234761,.16662934,.5,trt
MI_T,.47595355,.13585134,.5,trt
MI_LOGT,.45968562,.14720029,.5,trt
CC,.3685002,.13298558,.5,trt
MI_T,.37688223,.11752429,.5,trt
MI_LOGT,.32931474,.12669848,.5,trt
CC,.64994144,.13796613,.5,trt
MI_T,.61643618,.10883132,.5,trt
MI_LOGT,.62142408,.10427733,.5,trt
CC,.38038245,.14350408,.5,trt
MI_T,.44594374,.11870432,.5,trt
MI_LOGT,.37955374,.1214227,.5,trt
CC,.32074901,.14415377,.5,trt
MI_T,.36017451,.13001959,.5,trt
MI_LOGT,.3786236,.13386022,.5,trt
CC,.47308394,.13960285,.5,trt
MI_T,.4316282,.14024463,.5,trt
MI_LOGT,.44810808,.11046606,.5,trt
CC,.52734298,.13383809,.5,trt
MI_T,.48811686,.12790151,.5,trt
MI_LOGT,.51608747,.12034258,.5,trt
CC,.32693058,.13060218,.5,trt
MI_T,.26352704,.12134787,.5,trt
MI_LOGT,.31853589,.13917637,.5,trt
CC,.36363578,.14156963,.5,trt
MI_T,.39901254,.12610289,.5,trt
MI_LOGT,.41905999,.14553663,.5,trt
CC,.43477571,.13290951,.5,trt
MI_T,.40670541,.1186651,.5,trt
MI_LOGT,.40294945,.14072795,.5,trt
CC,.50816709,.1268913,.5,trt
MI_T,.48696232,.11346912,.5,trt
MI_LOGT,.44564572,.10489525,.5,trt
CC,.70847124,.18937021,.5,trt
MI_T,.72798526,.16065295,.5,trt
MI_LOGT,.7141844,.16126102,.5,trt
CC,.43916363,.1492037,.5,trt
MI_T,.37626338,.11362664,.5,trt
MI_LOGT,.4074091,.13121685,.5,trt
CC,.70370543,.17664842,.5,trt
MI_T,.54419243,.1470014,.5,trt
MI_LOGT,.6400817,.12723336,.5,trt
CC,.552028,.1350068,.5,trt
MI_T,.56880516,.11262267,.5,trt
MI_LOGT,.60228056,.12456415,.5,trt
CC,.46395493,.1437066,.5,trt
MI_T,.49381778,.13902959,.5,trt
MI_LOGT,.52884752,.14047527,.5,trt
CC,.62222391,.13884085,.5,trt
MI_T,.62801588,.12633592,.5,trt
MI_LOGT,.54298776,.13308467,.5,trt
CC,.27615809,.13636158,.5,trt
MI_T,.27448502,.13770159,.5,trt
MI_LOGT,.26384714,.11766037,.5,trt
CC,.45293885,.15227829,.5,trt
MI_T,.48203605,.13074173,.5,trt
MI_LOGT,.52839434,.15218849,.5,trt
CC,.28098962,.12501505,.5,trt
MI_T,.34347221,.11046994,.5,trt
MI_LOGT,.34467795,.10968288,.5,trt
CC,.56479508,.15366797,.5,trt
MI_T,.51315886,.1489028,.5,trt
MI_LOGT,.53085953,.16772234,.5,trt
CC,.6925683,.15068415,.5,trt
MI_T,.68678612,.16642599,.5,trt
MI_LOGT,.64010584,.11719699,.5,trt
CC,.19586879,.1466862,.5,trt
MI_T,.18898873,.14511931,.5,trt
MI_LOGT,.13084586,.119135,.5,trt
CC,.6810528,.13966718,.5,trt
MI_T,.61736226,.14144878,.5,trt
MI_LOGT,.53473198,.127097,.5,trt
CC,.51699173,.16171338,.5,trt
MI_T,.50722224,.12852143,.5,trt
MI_LOGT,.53080243,.13137385,.5,trt
CC,.50718737,.15093161,.5,trt
MI_T,.53368646,.13161032,.5,trt
MI_LOGT,.53567231,.14049348,.5,trt
CC,.67352915,.15413955,.5,trt
MI_T,.67137909,.12321376,.5,trt
MI_LOGT,.66785502,.12336091,.5,trt
CC,.48590407,.15280706,.5,trt
