method,value,se,true_value,par
MI_T,.45410433,.19006655,.5,trt
MI_LOGT,.47295991,.1438169,.5,trt
CC,.54462582,.14381987,.5,trt
MI_T,.50549173,.11344207,.5,trt
MI_LOGT,.50070214,.11343475,.5,trt
CC,.56603062,.14008808,.5,trt
MI_T,.56058294,.16149822,.5,trt
MI_LOGT,.59582984,.11899488,.5,trt
CC,.46406046,.144885,.5,trt
MI_T,.54590929,.13347736,.5,trt
MI_LOGT,.58415556,.13095474,.5,trt
CC,.53456765,.13500729,.5,trt
MI_T,.54817468,.13163014,.5,trt
MI_LOGT,.51766652,.12227674,.5,trt
CC,.90402246,.18553008,.5,trt
MI_T,.69733804,.13599715,.5,trt
MI_LOGT,.80596977,.15887856,.5,trt
CC,.6514647,.14194827,.5,trt
MI_T,.56995898,.12420268,.5,trt
MI_LOGT,.60433424,.13641568,.5,trt
CC,.73833907,.13884668,.5,trt
MI_T,.77042401,.12869169,.5,trt
MI_LOGT,.73525834,.1411182,.5,trt
CC,.35401252,.16712104,.5,trt
MI_T,.35395101,.14573559,.5,trt
MI_LOGT,.32199216,.15080738,.5,trt
CC,.81621116,.20287436,.5,trt
MI_T,.70285624,.14849967,.5,trt
MI_LOGT,.61117566,.17652866,.5,trt
CC,.60724401,.14590964,.5,trt
MI_T,.63634902,.12169944,.5,trt
MI_LOGT,.74776405,.13364933,.5,trt
CC,.57194227,.16532367,.5,trt
MI_T,.46364829,.2147755,.5,trt
MI_LOGT,.53480822,.15694535,.5,trt
CC,.75414783,.13542257,.5,trt
MI_T,.71287578,.14280683,.5,trt
MI_LOGT,.73478717,.1453211,.5,trt
CC,.60255355,.17780887,.5,trt
MI_T,.59913188,.15722208,.5,trt
MI_LOGT,.52063066,.15261124,.5,trt
CC,.67968631,.1481887,.5,trt
MI_T,.52914399,.14266846,.5,trt
MI_LOGT,.4933401,.16528055,.5,trt
CC,.37483341,.1383636,.5,trt
MI_T,.44204307,.12037379,.5,trt
MI_LOGT,.43021527,.14464818,.5,trt
CC,.56568593,.13679312,.5,trt
MI_T,.56776673,.1261795,.5,trt
MI_LOGT,.54232877,.11623268,.5,trt
CC,.39709163,.10968992,.5,trt
MI_T,.43056172,.10095035,.5,trt
MI_LOGT,.41780874,.098239832,.5,trt
CC,.45251188,.16587743,.5,trt
MI_T,.53090012,.16543944,.5,trt
MI_LOGT,.4897317,.1594156,.5,trt
CC,.60402942,.1393171,.5,trt
MI_T,.50048709,.13268927,.5,trt
MI_LOGT,.48664051,.12681417,.5,trt
CC,.61205405,.15780064,.5,trt
MI_T,.51808649,.12076205,.5,trt
MI_LOGT,.58181816,.13672039,.5,trt
CC,.51969469,.14753722,.5,trt
MI_T,.70051676,.14428799,.5,trt
MI_LOGT,.64223945,.13961446,.5,trt
CC,.57566077,.14109312,.5,trt
MI_T,.70187908,.13684335,.5,trt
MI_LOGT,.69843543,.12271587,.5,trt
CC,.57333386,.13337833,.5,trt
MI_T,.50429171,.13358594,.5,trt
MI_LOGT,.56065553,.12847978,.5,trt
CC,.38785791,.13416259,.5,trt
MI_T,.43437684,.11772233,.5,trt
MI_LOGT,.40420622,.12146024,.5,trt
CC,.60828334,.14756472,.5,trt
MI_T,.56348157,.12782504,.5,trt
MI_LOGT,.56706065,.13950066,.5,trt
CC,.51383358,.13238479,.5,trt
MI_T,.49515104,.13224575,.5,trt
MI_LOGT,.49434388,.12384989,.5,trt
CC,.65990531,.14424433,.5,trt
MI_T,.73671067,.13053393,.5,trt
MI_LOGT,.74975729,.1603792,.5,trt
CC,.5580706,.13294363,.5,trt
MI_T,.54776901,.15332665,.5,trt
MI_LOGT,.50491518,.11471639,.5,trt
CC,.46587077,.1401908,.5,trt
MI_T,.44665647,.12210137,.5,trt
MI_LOGT,.45942101,.11560983,.5,trt
CC,.37179238,.1352195,.5,trt
MI_T,.39257911,.14788553,.5,trt
MI_LOGT,.42140153,.11876805,.5,trt
CC,.67150724,.12999095,.5,trt
MI_T,.69605666,.12482511,.5,trt
MI_LOGT,.70507181,.11919163,.5,trt
CC,.48021466,.14579421,.5,trt
MI_T,.50715095,.13504043,.5,trt
MI_LOGT,.50783622,.13721919,.5,trt
CC,.12837915,.11580566,.5,trt
MI_T,.17292307,.11306152,.5,trt
MI_LOGT,.1771898,.12033892,.5,trt
CC,.62202138,.15438353,.5,trt
MI_T,.48975015,.13023753,.5,trt
MI_LOGT,.52555496,.11624058,.5,trt
CC,.58132613,.16197966,.5,trt
MI_T,.35791734,.1504548,.5,trt
MI_LOGT,.4022277,.1523049,.5,trt
CC,.57521123,.16733241,.5,trt
MI_T,.58918649,.14822331,.5,trt
MI_LOGT,.55273229,.13146096,.5,trt
CC,.51285183,.1314742,.5,trt
MI_T,.50299186,.1203863,.5,trt
MI_LOGT,.48461109,.1175001,.5,trt
CC,.48071176,.12505308,.5,trt
MI_T,.4235532,.12649977,.5,trt
MI_LOGT,.41860241,.12637334,.5,trt
CC,.55447006,.12168044,.5,trt
MI_T,.58331013,.12199584,.5,trt
MI_LOGT,.50256646,.11663131,.5,trt
CC,.4825151,.13371672,.5,trt
MI_T,.44232458,.13446596,.5,trt
MI_LOGT,.44136894,.12711275,.5,trt
CC,.43639809,.14102469,.5,trt
MI_T,.45818773,.12929641,.5,trt
MI_LOGT,.44160879,.1477035,.5,trt
CC,.45622569,.16056721,.5,trt
MI_T,.33402517,.16579472,.5,trt
MI_LOGT,.39256436,.14468008,.5,trt
CC,.398577,.18687497,.5,trt
MI_T,.24737065,.15472637,.5,trt
MI_LOGT,.29742253,.14381169,.5,trt
CC,.41989288,.11175592,.5,trt
MI_T,.36732411,.099398188,.5,trt
MI_LOGT,.40745109,.098415896,.5,trt
CC,.73670453,.1607179,.5,trt
MI_T,.73287225,.14314359,.5,trt
MI_LOGT,.73558742,.17265879,.5,trt
CC,.83649665,.18447162,.5,trt
MI_T,.74717492,.14305809,.5,trt
MI_LOGT,.71735573,.14534992,.5,trt
CC,.24857338,.14696583,.5,trt
MI_T,.30373996,.13179015,.5,trt
MI_LOGT,.31407714,.12546124,.5,trt
CC,.81599599,.16625507,.5,trt
MI_T,.55757797,.19329503,.5,trt
MI_LOGT,.56353539,.18966191,.5,trt
CC,.58724576,.16508752,.5,trt
MI_T,.55323857,.1384922,.5,trt
MI_LOGT,.47706521,.14117192,.5,trt
CC,.61882514,.16344121,.5,trt
MI_T,.54979908,.1531117,.5,trt
MI_LOGT,.55632585,.15239714,.5,trt
CC,.49248782,.1461855,.5,trt
MI_T,.50303632,.12611365,.5,trt
MI_LOGT,.46396816,.13960895,.5,trt
CC,.45348874,.13270491,.5,trt
MI_T,.43952647,.14004797,.5,trt
MI_LOGT,.47189173,.13016671,.5,trt
CC,.5670166,.1426578,.5,trt
MI_T,.52849084,.11411144,.5,trt
MI_LOGT,.51326317,.1117798,.5,trt
CC,.37870067,.13724253,.5,trt
MI_T,.43237743,.12211589,.5,trt
MI_LOGT,.48065764,.14641516,.5,trt
CC,.47175294,.15917037,.5,trt
MI_T,.45577785,.13864617,.5,trt
MI_LOGT,.40374601,.16734366,.5,trt
CC,.27755889,.21944195,.5,trt
MI_T,.13856076,.15134311,.5,trt
MI_LOGT,.1450495,.14990306,.5,trt
CC,.6464538,.16869827,.5,trt
MI_T,.49830633,.13613647,.5,trt
MI_LOGT,.54992664,.14419544,.5,trt
CC,.48521742,.14469214,.5,trt
MI_T,.48190364,.13117427,.5,trt
MI_LOGT,.50462806,.11707309,.5,trt
CC,.49206355,.16858703,.5,trt
MI_T,.44244519,.12955669,.5,trt
MI_LOGT,.47745124,.13058315,.5,trt
CC,.53288954,.15509321,.5,trt
MI_T,.52785099,.12288275,.5,trt
MI_LOGT,.49953496,.12178724,.5,trt
CC,.63165259,.13404737,.5,trt
MI_T,.57212466,.12725021,.5,trt
MI_LOGT,.54064804,.11492883,.5,trt
CC,.61497641,.15652488,.5,trt
MI_T,.62859142,.13673091,.5,trt
MI_LOGT,.6197235,.15096757,.5,trt
CC,.68100464,.16675761,.5,trt
MI_T,.65988678,.15529896,.5,trt
MI_LOGT,.68106306,.15371467,.5,trt
CC,.43524018,.11728939,.5,trt
MI_T,.41079476,.11721583,.5,trt
MI_LOGT,.42563275,.10701397,.5,trt
CC,.46305436,.12242021,.5,trt
MI_T,.46707702,.11925732,.5,trt
MI_LOGT,.49089292,.11312093,.5,trt
CC,.74732184,.15553817,.5,trt
MI_T,.70055467,.13356754,.5,trt
MI_LOGT,.69998151,.14465839,.5,trt
CC,.59320199,.17181942,.5,trt
MI_T,.35124445,.17235637,.5,trt
MI_LOGT,.41345456,.16316368,.5,trt
CC,.36535752,.15475994,.5,trt
MI_T,.35173228,.1421313,.5,trt
MI_LOGT,.38721073,.14615281,.5,trt
CC,.54188627,.13968515,.5,trt
MI_T,.53352487,.1166279,.5,trt
MI_LOGT,.51884264,.1541281,.5,trt
CC,.57915652,.16339248,.5,trt
MI_T,.50055414,.15675056,.5,trt
MI_LOGT,.41732451,.1411833,.5,trt
CC,.57351404,.13355288,.5,trt
MI_T,.53515428,.12918955,.5,trt
MI_LOGT,.57178175,.11375861,.5,trt
CC,.68663049,.1355844,.5,trt
MI_T,.64052588,.1356055,.5,trt
MI_LOGT,.6629225,.11440162,.5,trt
CC,.38968167,.15831359,.5,trt
MI_T,.46078929,.13776901,.5,trt
MI_LOGT,.52044845,.13826285,.5,trt
CC,.55597746,.15482581,.5,trt
MI_T,.451498,.16163146,.5,trt
MI_LOGT,.4593733,.16722283,.5,trt
CC,.40644169,.12344851,.5,trt
MI_T,.50047594,.10807204,.5,trt
MI_LOGT,.47352046,.11569441,.5,trt
CC,.54151398,.13031384,.5,trt
MI_T,.56594574,.12196577,.5,trt
MI_LOGT,.54860878,.1106573,.5,trt
CC,.13580294,.12690854,.5,trt
MI_T,.1948017,.12497833,.5,trt
MI_LOGT,.20402725,.1272244,.5,trt
CC,.61443609,.12168744,.5,trt
MI_T,.62150615,.11475022,.5,trt
MI_LOGT,.60063362,.10426925,.5,trt
CC,.37579691,.12881769,.5,trt
MI_T,.3663297,.12478853,.5,trt
MI_LOGT,.37518418,.12941538,.5,trt
CC,.40471965,.1111866,.5,trt
MI_T,.37624899,.096584931,.5,trt
MI_LOGT,.3556802,.11703642,.5,trt
CC,.67861557,.1614272,.5,trt
MI_T,.53990388,.13787419,.5,trt
MI_LOGT,.5590843,.17204557,.5,trt
CC,.45775414,.10441823,.5,trt
MI_T,.43476591,.090709671,.5,trt
MI_LOGT,.44019473,.10461622,.5,trt
CC,.60622185,.13284747,.5,trt
MI_T,.63645113,.14203946,.5,trt
MI_LOGT,.60418552,.12901089,.5,trt
CC,.33679572,.13819827,.5,trt
MI_T,.37090847,.13839774,.5,trt
MI_LOGT,.39595124,.14145148,.5,trt
CC,.35105085,.11610866,.5,trt
MI_T,.33233896,.10617062,.5,trt
MI_LOGT,.33236185,.11036891,.5,trt
CC,.72087151,.14539249,.5,trt
MI_T,.73358059,.13150533,.5,trt
MI_LOGT,.77068156,.13945822,.5,trt
CC,.33324885,.1447919,.5,trt
MI_T,.39931905,.12661526,.5,trt
MI_LOGT,.46895579,.13239285,.5,trt
CC,.45773688,.1378891,.5,trt
MI_T,.41187844,.13817868,.5,trt
MI_LOGT,.45852685,.12606043,.5,trt
CC,.42912894,.12606968,.5,trt
MI_T,.47764495,.11286759,.5,trt
MI_LOGT,.37451068,.11617754,.5,trt
CC,.64424318,.14255615,.5,trt
MI_T,.42916843,.15437117,.5,trt
MI_LOGT,.40187892,.14758168,.5,trt
CC,.48594153,.1318936,.5,trt
MI_T,.48085552,.12261175,.5,trt
MI_LOGT,.51650465,.11349674,.5,trt
CC,.5936901,.16628471,.5,trt
MI_T,.55402511,.14422598,.5,trt
MI_LOGT,.50526941,.13279979,.5,trt
CC,.29396155,.13047858,.5,trt
MI_T,.38123855,.12827538,.5,trt
MI_LOGT,.34017679,.13496946,.5,trt
CC,.18881035,.15469278,.5,trt
MI_T,.34959492,.16119285,.5,trt
MI_LOGT,.35165641,.13157767,.5,trt
CC,.36069861,.15418762,.5,trt
MI_T,.49300724,.14243937,.5,trt
MI_LOGT,.47624815,.14613032,.5,trt
CC,.63667494,.13175854,.5,trt
MI_T,.5561378,.11610183,.5,trt
MI_LOGT,.53273976,.19873022,.5,trt
CC,.57623786,.16371463,.5,trt
MI_T,.58285421,.1285585,.5,trt
MI_LOGT,.56607699,.15539627,.5,trt
CC,.50125682,.1364533,.5,trt
MI_T,.43559572,.14781398,.5,trt
MI_LOGT,.40437865,.1555412,.5,trt
CC,.19908477,.13125555,.5,trt
MI_T,.29129288,.13140661,.5,trt
MI_LOGT,.29824325,.13616671,.5,trt
CC,.50224632,.1364184,.5,trt
MI_T,.52468514,.11201288,.5,trt
MI_LOGT,.53970104,.12799492,.5,trt
CC,.48611304,.13069627,.5,trt
MI_T,.43438774,.134789,.5,trt
MI_LOGT,.41991255,.12223227,.5,trt
CC,.50204474,.12237867,.5,trt
MI_T,.53120935,.11635836,.5,trt
MI_LOGT,.57482541,.10828378,.5,trt
CC,.43636578,.13295744,.5,trt
MI_T,.55429846,.10288627,.5,trt
MI_LOGT,.59919578,.12498113,.5,trt
CC,.50057232,.1463085,.5,trt
MI_T,.49721476,.12838186,.5,trt
MI_LOGT,.5036639,.15941963,.5,trt
CC,.65318841,.15267946,.5,trt
MI_T,.76233733,.13743982,.5,trt
MI_LOGT,.72905457,.1446078,.5,trt
CC,.76920378,.15666986,.5,trt
MI_T,.63756216,.14101583,.5,trt
MI_LOGT,.63235158,.12865618,.5,trt
CC,.41824007,.13560823,.5,trt
MI_T,.41911086,.11552644,.5,trt
MI_LOGT,.473241,.11369462,.5,trt
CC,.3347545,.13633658,.5,trt
MI_T,.33241612,.11245913,.5,trt
MI_LOGT,.36127794,.12437266,.5,trt
CC,.59732199,.13451229,.5,trt
MI_T,.58536106,.12543099,.5,trt
MI_LOGT,.63503551,.13638343,.5,trt
CC,.37871411,.13794914,.5,trt
MI_T,.44488612,.1321999,.5,trt
MI_LOGT,.38520145,.11454225,.5,trt
CC,.16812661,.15787773,.5,trt
MI_T,.27909747,.14451522,.5,trt
MI_LOGT,.32303217,.14815192,.5,trt
CC,.45484534,.13091727,.5,trt
MI_T,.38888192,.12926699,.5,trt
MI_LOGT,.42712423,.11196779,.5,trt
CC,.61325401,.17020981,.5,trt
MI_T,.51814795,.14932789,.5,trt
MI_LOGT,.5945881,.12430474,.5,trt
CC,.55303246,.13641492,.5,trt
MI_T,.45352796,.12570398,.5,trt
MI_LOGT,.39989892,.13986059,.5,trt
CC,.45235741,.12231396,.5,trt
MI_T,.50773287,.12935263,.5,trt
MI_LOGT,.48562208,.12134434,.5,trt
CC,.73370177,.16944331,.5,trt
MI_T,.67263037,.1507335,.5,trt
MI_LOGT,.65995264,.17702226,.5,trt
CC,.56305343,.16437958,.5,trt
MI_T,.37357941,.14453259,.5,trt
MI_LOGT,.38168228,.14997736,.5,trt
CC,.34119055,.12761949,.5,trt
MI_T,.3648724,.11585751,.5,trt
MI_LOGT,.39747766,.12007269,.5,trt
CC,.56460267,.14859904,.5,trt
MI_T,.46810594,.13700917,.5,trt
MI_LOGT,.54579198,.15443566,.5,trt
CC,.3780753,.15569948,.5,trt
MI_T,.44068313,.14193334,.5,trt
MI_LOGT,.41864011,.13649014,.5,trt
CC,.5705356,.13635397,.5,trt
MI_T,.49470323,.12340844,.5,trt
MI_LOGT,.57580227,.11921807,.5,trt
CC,.49316639,.17746927,.5,trt
MI_T,.5419336,.15285058,.5,trt
MI_LOGT,.57531369,.16014266,.5,trt
CC,.48639348,.14722803,.5,trt
MI_T,.47036546,.1347836,.5,trt
MI_LOGT,.47128358,.12452123,.5,trt
CC,.94365168,.19008796,.5,trt
MI_T,.71812928,.12320127,.5,trt
MI_LOGT,.74920321,.14560114,.5,trt
CC,.43332854,.17295076,.5,trt
MI_T,.3022424,.12856822,.5,trt
MI_LOGT,.30114856,.16080633,.5,trt
CC,.25596976,.13206543,.5,trt
MI_T,.27051273,.12440771,.5,trt
MI_LOGT,.31905314,.11954243,.5,trt
CC,.59285241,.16305903,.5,trt
MI_T,.65028793,.13305701,.5,trt
MI_LOGT,.63182092,.15470831,.5,trt
CC,.63797128,.16530998,.5,trt
MI_T,.62570864,.14631946,.5,trt
MI_LOGT,.62355196,.17521517,.5,trt
CC,.5614689,.12867944,.5,trt
MI_T,.50915313,.15340023,.5,trt
MI_LOGT,.46015731,.13123861,.5,trt
CC,.57026863,.13167626,.5,trt
MI_T,.59798789,.12332097,.5,trt
MI_LOGT,.61174375,.11786301,.5,trt
CC,.44921061,.15739928,.5,trt
MI_T,.47926569,.13036634,.5,trt
MI_LOGT,.5414561,.18210506,.5,trt
CC,.50282097,.15543975,.5,trt
MI_T,.45870423,.13867795,.5,trt
MI_LOGT,.56720275,.13545902,.5,trt
CC,.62142467,.12712395,.5,trt
MI_T,.64105022,.14284204,.5,trt
MI_LOGT,.67731613,.1239296,.5,trt
CC,.42252478,.14872585,.5,trt
MI_T,.55414838,.12947118,.5,trt
MI_LOGT,.54189116,.13317719,.5,trt
CC,.29763952,.13776906,.5,trt
MI_T,.41478452,.12209926,.5,trt
MI_LOGT,.40805638,.11686149,.5,trt
CC,.58618236,.13145608,.5,trt
MI_T,.56626946,.11727107,.5,trt
MI_LOGT,.56387061,.11084881,.5,trt
CC,.45485735,.15662515,.5,trt
MI_T,.41513324,.11620241,.5,trt
MI_LOGT,.44919571,.11292782,.5,trt
CC,.63945669,.13345641,.5,trt
MI_T,.66975915,.11542391,.5,trt
MI_LOGT,.62593621,.11484674,.5,trt
CC,.34948719,.15564588,.5,trt
MI_T,.29320341,.13442799,.5,trt
MI_LOGT,.25738031,.13272226,.5,trt
CC,.43462101,.17044535,.5,trt
MI_T,.46236879,.16385207,.5,trt
MI_LOGT,.46485597,.16890319,.5,trt
CC,.38467395,.13726023,.5,trt
MI_T,.45266846,.13001393,.5,trt
MI_LOGT,.45432708,.14588499,.5,trt
CC,.56078511,.16280821,.5,trt
MI_T,.47784871,.13987626,.5,trt
MI_LOGT,.47848576,.12451192,.5,trt
CC,.26888332,.13657957,.5,trt
MI_T,.29681242,.11741965,.5,trt
MI_LOGT,.34181336,.13317639,.5,trt
CC,.33661717,.15652508,.5,trt
MI_T,.41545433,.19040212,.5,trt
MI_LOGT,.40624002,.14111722,.5,trt
CC,1.0045294,.17809278,.5,trt
MI_T,.84118539,.1835347,.5,trt
MI_LOGT,.87432432,.14946535,.5,trt
CC,.5067997,.14956819,.5,trt
MI_T,.53293389,.14241283,.5,trt
MI_LOGT,.53647602,.13908058,.5,trt
CC,.68636411,.14675385,.5,trt
MI_T,.66235298,.13856138,.5,trt
MI_LOGT,.65288901,.12145638,.5,trt
CC,.56576312,.15409023,.5,trt
MI_T,.52395189,.12286343,.5,trt
MI_LOGT,.54100043,.13706791,.5,trt
CC,.47559085,.14674893,.5,trt
MI_T,.47571632,.10842682,.5,trt
MI_LOGT,.46117774,.1203915,.5,trt
CC,.82311195,.17521784,.5,trt
MI_T,.63506371,.14513849,.5,trt
MI_LOGT,.74524933,.14386801,.5,trt
CC,.55530995,.14618438,.5,trt
MI_T,.44944745,.1391668,.5,trt
MI_LOGT,.43070093,.13404597,.5,trt
CC,.61524516,.14519188,.5,trt
MI_T,.65822613,.14427844,.5,trt
MI_LOGT,.65883589,.13217984,.5,trt
CC,.49250734,.1386468,.5,trt
MI_T,.50108844,.11723626,.5,trt
MI_LOGT,.54008782,.13006252,.5,trt
CC,.46798748,.11837269,.5,trt
MI_T,.45581883,.12870742,.5,trt
MI_LOGT,.48612839,.10986,.5,trt
CC,.55713278,.15594475,.5,trt
MI_T,.61194992,.12381769,.5,trt
MI_LOGT,.54652393,.12197887,.5,trt
CC,.77443814,.14722483,.5,trt
MI_T,.713301,.13166392,.5,trt
MI_LOGT,.72100824,.14857599,.5,trt
CC,.52507496,.11493362,.5,trt
MI_T,.57456744,.10754773,.5,trt
MI_LOGT,.5795148,.11279017,.5,trt
CC,.83227342,.15968603,.5,trt
MI_T,.78369695,.13624579,.5,trt
MI_LOGT,.8170532,.16277367,.5,trt
CC,.44545555,.16447324,.5,trt
MI_T,.50137621,.19871491,.5,trt
MI_LOGT,.52813512,.16513762,.5,trt
CC,.69782972,.14664491,.5,trt
MI_T,.68479657,.12576644,.5,trt
MI_LOGT,.665672,.1286089,.5,trt
CC,.58510703,.16750729,.5,trt
MI_T,.50993395,.14668451,.5,trt
MI_LOGT,.61922473,.18266375,.5,trt
CC,.52780539,.15832752,.5,trt
MI_T,.4830147,.15547943,.5,trt
MI_LOGT,.48562542,.13115674,.5,trt
CC,.54346687,.14166544,.5,trt
MI_T,.61429882,.12821124,.5,trt
MI_LOGT,.58212072,.16123143,.5,trt
CC,.4716593,.13148925,.5,trt
MI_T,.41249856,.11434806,.5,trt
MI_LOGT,.36710972,.127083,.5,trt
CC,.54350889,.13513985,.5,trt
MI_T,.45829308,.12277168,.5,trt
MI_LOGT,.51197302,.10999013,.5,trt
CC,.51581335,.15291037,.5,trt
MI_T,.45149627,.13002208,.5,trt
MI_LOGT,.45247546,.12706682,.5,trt
CC,.77954227,.16854191,.5,trt
MI_T,.81466913,.1481465,.5,trt
MI_LOGT,.83696723,.14452821,.5,trt
CC,.9282791,.17199448,.5,trt
MI_T,.75063664,.16328558,.5,trt
MI_LOGT,.82404095,.15933862,.5,trt
CC,.40072519,.1269598,.5,trt
MI_T,.43510696,.11845383,.5,trt
MI_LOGT,.39744517,.1074863,.5,trt
CC,.72768021,.16921353,.5,trt
MI_T,.68304998,.15451373,.5,trt
MI_LOGT,.65248644,.13499722,.5,trt
CC,.57664335,.1452795,.5,trt
MI_T,.58212274,.15551078,.5,trt
MI_LOGT,.5643658,.14019574,.5,trt
CC,.6876303,.15109389,.5,trt
MI_T,.61007386,.1341226,.5,trt
MI_LOGT,.60731626,.1377383,.5,trt
CC,.27758497,.13600478,.5,trt
MI_T,.32488644,.11321924,.5,trt
MI_LOGT,.29818118,.12169701,.5,trt
CC,.63300699,.16278268,.5,trt
MI_T,.61292595,.13786028,.5,trt
MI_LOGT,.55789751,.15735129,.5,trt
CC,.47994012,.13255286,.5,trt
MI_T,.41276202,.12418926,.5,trt
MI_LOGT,.40524137,.12071069,.5,trt
CC,.68455565,.15697813,.5,trt
MI_T,.5858261,.142226,.5,trt
MI_LOGT,.63263893,.14912803,.5,trt
CC,.61532664,.1472718,.5,trt
MI_T,.58979386,.11628344,.5,trt
MI_LOGT,.61798316,.14969897,.5,trt
CC,.43941352,.14123741,.5,trt
MI_T,.47109112,.11774089,.5,trt
MI_LOGT,.45830691,.12309018,.5,trt
CC,.66074353,.14873576,.5,trt
MI_T,.71128225,.13860372,.5,trt
MI_LOGT,.70381725,.14494331,.5,trt
CC,.33593968,.14097969,.5,trt
MI_T,.36276525,.12453764,.5,trt
MI_LOGT,.39418215,.13120069,.5,trt
CC,.64582336,.14884496,.5,trt
MI_T,.53550225,.15992367,.5,trt
MI_LOGT,.4696106,.15587987,.5,trt
CC,.56359535,.14600576,.5,trt
MI_T,.6164,.14496402,.5,trt
MI_LOGT,.60310066,.11715622,.5,trt
CC,.56789958,.15511914,.5,trt
MI_T,.45911604,.13115166,.5,trt
MI_LOGT,.47488487,.1643021,.5,trt
CC,.58684218,.13933212,.5,trt
MI_T,.5759787,.14263271,.5,trt
MI_LOGT,.54850239,.13935569,.5,trt
CC,.69121546,.15305142,.5,trt
MI_T,.55906081,.13567057,.5,trt
MI_LOGT,.54143482,.15910305,.5,trt
CC,.77552181,.1547541,.5,trt
MI_T,.6899153,.12837051,.5,trt
MI_LOGT,.73748755,.15545881,.5,trt
CC,.48781765,.13662139,.5,trt
MI_T,.509893,.13628621,.5,trt
MI_LOGT,.50994319,.12949474,.5,trt
CC,.57282805,.17223932,.5,trt
MI_T,.42616212,.14338005,.5,trt
MI_LOGT,.53905857,.18381849,.5,trt
CC,.78498262,.15270717,.5,trt
MI_T,.7232911,.12504736,.5,trt
MI_LOGT,.73988807,.13379075,.5,trt
CC,.64519328,.14156817,.5,trt
MI_T,.56736767,.1517228,.5,trt
MI_LOGT,.50468338,.12737505,.5,trt
CC,.48059589,.14803772,.5,trt
MI_T,.47090375,.13416418,.5,trt
MI_LOGT,.44661996,.11761045,.5,trt
CC,.48596027,.15320948,.5,trt
MI_T,.48701629,.13524911,.5,trt
MI_LOGT,.47033161,.16213094,.5,trt
CC,.5887211,.14658102,.5,trt
MI_T,.58369535,.13485767,.5,trt
MI_LOGT,.59331262,.13788541,.5,trt
CC,.39778304,.12849462,.5,trt
MI_T,.4703624,.11002973,.5,trt
MI_LOGT,.42701137,.14022441,.5,trt
CC,.46777904,.14044213,.5,trt
MI_T,.44533524,.11826727,.5,trt
MI_LOGT,.44466817,.12096851,.5,trt
CC,.56733161,.15336806,.5,trt
MI_T,.63682473,.12894711,.5,trt
MI_LOGT,.63860571,.12833041,.5,trt
CC,.45988643,.13359389,.5,trt
MI_T,.47305793,.11803807,.5,trt
MI_LOGT,.39380533,.12093118,.5,trt
CC,.54206383,.14008856,.5,trt
MI_T,.62643921,.11611096,.5,trt
MI_LOGT,.61319572,.13591245,.5,trt
CC,.43553922,.13618468,.5,trt
MI_T,.41811642,.13523968,.5,trt
MI_LOGT,.42667618,.12980174,.5,trt
CC,.38271046,.134294,.5,trt
